,url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank
0,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1441,77,16,0,2,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.051948052,0.0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,2,2,4,10,9,10,6.333333333,5.5,6.571428571,0,1,0,0,0,0,399,0.92481203,0.07518797,0,0,0,0.6,0,0.166666667,0,0,100.0,0,100.0,0.0,0,0,0,61.53846154,0,0,0,0,1,0,902,7133,12,0,0,7
1,https://www.cevital.com/,24,15,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,7,7,0,5.0,5.0,0.0,0,0,0,0,0,0,6,0.0,1.0,0,0,0,0.333333333,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,0.0,0,0,0,0,0,0,2087,6679,515929,0,0,4
2,http://union.gr/components/MIEN/index.html,42,8,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,4,5,4,10,5,10,5.6,5.0,5.75,0,0,0,0,0,0,150,0.9,0.1,0,1,0,0.0,0,0.0,0,1,85.0,0,0.0,0.0,0,0,0,100.0,0,0,0,0,0,1,0,-1,2488533,0,1,2
3,http://www.examguides.com/security+/js/read/ed/Validation/login.php,67,18,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,3,0,9,3,2,3,2,10,10,10,5.333333333,6.5,5.0,2,0,0,0,0,0,31,0.64516129,0.35483871,0,3,0,0.0,0,0.0,0,1,69.23076923,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,328,6977,6845579,0,1,3
4,http://betasusgirdi.blogspot.com,32,25,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,8,8,0,12,12,0,10.0,10.0,0.0,0,1,0,0,0,0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0.0,0,0.0,0.0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5
5,https://bibliotecabayer.org.ar/wp-admin/oo/att/,47,22,0,2,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,1,0,5,2,2,15,2,15,15,5,5.4,15.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,148,-1,0,0,1,2
6,https://scenari.software/,25,16,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,7,0,7,7,0,7.0,7.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,1,0,1549,3205318,0,0,3
7,http://email.m-aut.ru/cn/dhl/dhl/w51kl6qmcn1d6j96euuzihsn73dce75d92181ca956e737b3cb66db98.php,93,14,1,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.290322581,0.0,0,0,0,0,0,3,1,0,0,0,0,0,8,2,1,1,2,56,5,56,9.5,3.0,13.4,0,0,0,0,0,0,10,0.6,0.4,0,0,0,0.25,0,0.0,0,1,50.0,0,100.0,0.0,0,0,0,50.0,0,0,0,1,0,0,303,62,0,0,1,0
8,http://halestelevision.co.uk/components/com_contact/cz/4f2ce4697b27ae19dcb701e5c4a09029,87,21,1,2,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,2,0,0,1,0.229885057,0.0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,2,15,2,32,15,32,11.5,15.0,10.8,0,0,0,0,0,0,64,0.078125,0.921875,0,11,0,0.118644068,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,27.27272727,0,0,1,1,1,0,813,3205,0,0,1,0
9,http://profile-viewer-socialmedia.000webhostapp.com/,52,44,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.057692308,0.0681818179999999,0,0,0,0,0,2,0,0,0,0,0,0,4,4,6,6,0,13,13,0,9.25,9.25,0.0,1,0,0,0,0,0,161,0.267080745,0.732919255,0,0,0,0.059322034,0,0.050847458,1,1,44.06779661,0,80.0,20.0,0,0,0,0.0,0,0,0,1,1,0,659,1532,4691,0,1,2
10,https://onedrive.live.com/redir?resid=A37258A5832F32B8%214551&authkey=%21AH-PRMDNyC6z-HE&page=View&wd=target%28Quick%20Notes.one%7C4617bc2b-8a69-4e83-9b28-fdc3f0e092a4%2FReview%20Document%20No.%20CLT9071825%7Ca63f7492-3a53-4740-8ff8-743d2bf58dd0%2F%29,251,17,1,4,10,0,1,3,0,4,0,0,12,3,0,1,0,0,0,4,0,0,0,0,0,0.342629482,0.0,0,0,0,0,0,3,0,0,0,0,0,0,33,3,2,4,2,16,8,16,6.212121212,6.0,6.2258064520000005,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,158,9338,21,0,0,5
11,http://vape-town.ca/wp-includes/js/jcrop/cbt_options-social-icons.json.htm,74,12,0,3,4,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,0,0,0,0,12,0,2,4,2,8,4,8,4.416666667,4.0,4.5,4,0,0,0,0,0,31,0.193548387,0.806451613,0,1,0,0.04,0,0.0,1,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0,340,1120,0,0,1,2
12,https://ocaque-domen.firebaseapp.com/,37,28,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,5,5,0,11,11,0,7.333333333,7.333333333,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,84,2837,0,0,1,2
13,http://laurenandlael.blogspot.com,33,26,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,8,8,0,13,13,0,10.5,10.5,0.0,0,1,0,0,0,0,21,0.285714286,0.7142857140000001,0,3,0,0.0,0,0.0,0,1,46.15384615,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,371,7298,0,0,0,5
14,https://buytowhere.wordpress.com/,33,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,9,9,0,10,10,0,9.5,9.5,0.0,0,1,0,0,0,0,56,0.196428571,0.8035714290000001,0,6,0,0.133333333,0,0.177777778,0,1,27.27272727,0,0.0,100.0,0,0,0,25.0,0,0,0,1,0,0,585,7449,0,0,0,8
15,https://www.olx.com.uy/,23,14,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,1,1,0,0,0,2,3,3,3,0,3,3,0,3.0,3.0,0.0,0,0,0,0,0,0,13,0.7692307690000001,0.230769231,0,1,0,0.0,0,0.0,0,1,75.0,0,100.0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,-1,3865872,0,0,2
16,https://sapient-flare-279107.df.r.appspot.com/jim@thejimburkefamily.com,71,37,0,5,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0.0845070419999999,0.162162162,0,0,1,0,0,3,0,0,1,0,0,0,9,1,1,1,3,17,7,17,5.666666667,4.666666667,7.666666667,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.294117647,0,0.0,0,1,0.0,0,20.0,80.0,0,0,0,25.0,0,0,0,1,1,0,217,5626,0,0,1,5
17,http://www.stephencurryshoes.com/,33,25,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,17,17,0,10.0,10.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,368,727,0,0,0,4
18,http://dick-of.cubehost.ru/archive/2015/1.php?n=25&id=128520,60,19,0,3,1,0,1,1,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.216666667,0.0,0,0,0,0,0,3,1,0,0,0,1,0,11,0,1,2,1,8,8,7,3.636363636000001,4.666666667,3.25,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,53,1408,4219048,0,1,0
19,http://harlem2watts.com/freem/ourtime1/v3/member.htm,52,16,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.057692308,0.0625,0,0,0,0,0,2,0,0,0,0,0,0,6,2,2,12,2,12,12,8,6.0,12.0,4.8,0,0,0,0,0,0,58,0.620689655,0.379310345,0,3,0,0.1363636359999999,0,0.772727273,0,1,8.333333332999999,0,0.0,0.0,0,0,0,16.66666667,0,0,0,1,1,0,195,1996,0,0,1,0
20,http://www.performanceoutdooradvertising.com/folder/verify/document/d11bed2b38fe6c02d18d4a397e9a933b/,101,37,1,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.178217822,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6,6,3,3,6,32,29,32,14.0,16.0,13.0,0,0,0,0,0,0,33,0.787878788,0.212121212,0,1,0,0.0,0,0.0,0,1,71.42857143,0,50.0,50.0,0,0,0,71.42857143,0,0,0,1,1,0,1547,2105,0,0,1,0
21,https://www.babyshop.com/,25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,252,0.869047619,0.130952381,0,0,0,0.272727273,0,0.363636364,0,1,44.0,0,93.5483871,6.451612902999999,0,0,0,40.0,0,0,0,0,1,0,1003,8494,6469,0,0,3
22,http://www.avclub.com/article/mickey-mouse-club-cast-annette-funicello-quintesse-241238,87,14,0,2,7,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.068965517,0.0,0,0,0,0,0,2,0,1,0,0,3,0,11,7,3,3,4,9,6,9,6.0,4.5,6.333333333,0,0,0,0,0,0,162,0.7345679009999999,0.265432099,0,0,0,0.023255814,0,0.209302326,0,1,72.72727273,0,89.47368421,10.52631579,0,0,0,27.27272727,0,0,0,1,1,0,133,7537,5344,0,1,6
23,http://www.softpedia.com/get/System/File-Management/Text-File-Splitter.shtml,76,17,0,3,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,0,0,1,0,10,4,3,3,3,10,9,10,5.6,6.0,5.5,0,0,0,0,0,0,8,0.5,0.5,0,0,0,0.5,0,0.0,0,0,33.33333333,0,0.0,0.0,0,0,0,66.66666667,0,0,0,1,0,0,698,6242,2409,0,0,6
24,http://russianamericanballet.com/includes/.login/gmail/ServiceLoginAuth/index.php?service=LoginAuth0,100,25,0,3,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.01,0.0,0,0,0,0,0,3,0,0,1,0,0,0,9,2,3,21,3,21,21,16,8.888888889,21.0,7.375,4,0,0,0,0,0,19,0.421052632,0.578947368,0,0,0,0.727272727,0,0.181818182,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,284,4099,0,0,1,0
25,http://www.poolscalifornia.top/Login_step_2.html,48,23,0,3,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.020833333,0.0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,1,3,1,15,15,5,5.333333333,9.0,3.5,1,0,0,0,1,0,18,0.833333333,0.166666667,0,0,0,0.0,0,1.0,0,1,83.33333333,0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,362,3,0,0,1,0
26,https://greatist.com/grow/respond-to-passive-aggressive-behavior,64,12,0,1,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,7,3,2,8,2,10,8,10,6.571428571,8.0,6.333333333,0,0,0,0,0,0,99,0.505050505,0.494949495,0,0,0,0.12244898,0,0.142857143,0,1,8.695652174,0,75.0,25.0,0,0,0,23.07692308,0,0,0,1,0,0,2320,5349,10753,0,0,5
27,http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bd96baf7a1cd83c,76,50,1,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.078947368,0.0,0,0,0,1,0,3,1,0,0,0,1,0,7,2,2,3,2,15,13,15,8.428571429,8.4,8.5,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0
28,http://evostore.com.np/ihrfall63417798752737518&amp;amp;amp;amp;cgi3-viewkontakt-63417798752737518-007acctpagetype-63417798752737518=68119-problema&amp;amp;amp;amp;info@hoehne-buero.de.html&amp;amp;amp;amp;data=02,213,15,1,4,6,1,0,3,0,2,0,0,0,3,0,1,0,12,0,0,0,0,0,0,1,0.291079812,0.0,0,0,0,0,0,3,0,0,0,0,0,0,16,7,2,8,2,24,8,24,11.5,8.0,11.73333333,1,0,0,0,0,0,31,0.483870968,0.516129032,0,0,0,0.4375,0,0.625,0,1,66.66666667,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,1,0,-1,1768405,0,1,2
29,https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b31466003a51a2b?cmd=_update&dispatch=b31466003a51a2b07&locale=_,125,50,1,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0.192,0.0,0,0,0,1,0,3,1,0,0,0,1,0,12,6,2,3,2,17,13,17,8.25,8.4,8.142857142999999,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0
